"ID","ItemType","Name","Model","Inventory","Script"
"a_ex_colonyboat","Activator","Rowboat","x\Ex_longboat02.NIF","","Colony_first_boat"
"A_Ex_De_Oar","Activator","Oar","x\Ex_De_Oar.NIF","","Float"
"a_ex_de_rowboat","Activator","Rowboat","x\Ex_De_Rowboat.NIF","","Float"
"a_ex_de_rowboat_colony","Activator","","x\Ex_De_Rowboat.NIF","","Float"
"a_ex_de_shack_door","Activator","Shack Door","x\Ex_De_Shack_Door.nif","","DoorBarricaded"
"a_furn_com_table_colony","Activator","","f\Furn_Com_Table_02.nif","","Colony_E_1_F"
"a_furn_de_chair_3","Activator","Chair","f\Furn_De_Chair_03.nif","","SignRotate"
"a_furn_de_table_6","Activator","Table","f\Furn_De_Table_06.nif","","SignRotate"
"a_furn_de_table_8","Activator","Table","f\Furn_De_Table_08.nif","","SignRotate"
"a_light_com_lantern_2","Activator","Travel Lantern","l\Light_Com_Lantern_02.nif","",""
"a_light_dw_neon","Activator","","l\light_dwrv_neon00.nif","","TelVosTeleport1"
"a_siltstrider","Activator","Silt Strider","r\Siltstrider.NIF","",""
"ac_furn_rug_big_04_dren","Activator","Common Rug (Trapped)","f\Furn_rug_big_04_Collision.NIF","","BILL_common_trapped_rug"
"ac_furn_rug_colony","Activator","","f\Furn_rug_big_04_Collision.nif","","ColonyRugTrap"
"ac_furn_rug_colony2","Activator","","f\Furn_rug_big_04_Collision.NIF","","Colony_E_1_F"
"ac_maar_gan_magic_rock","Activator","Magic Rock of Maar Gan","i\in_moldboulder02.nif","","shrineMaarGan"
"ac_mount_kand_triolith","Activator","Mount Kand Shrine","f\Furn_shrine_vivec_01.NIF","","shrineMountKand"
"ac_sanctus_shrine_triolith","Activator","Sanctus Shrine","f\Furn_shrine_vivec_01.NIF","","shrineSanctus"
"ac_shrine_assarnibibi","Activator","Assarnibibi Shrine","f\Furn_shrine_vivec_01.NIF","","shrineAssarnibibi"
"ac_shrine_gnisis","Activator","Shrine of the Mask","f\Furn_triolith_01.nif","","shrineGnisis"
"ac_shrine_gnisis_mv","Activator","Shrine of the Mask","f\Active_triolith_01a.NIF","","shrineGnisisSecret"
"ac_shrine_koalcave","Activator","Koal Cave Shrine","f\Furn_shrine_vivec_01.NIF","","shrineKoalCave"
"ac_shrine_palace","Activator","Palace Shrine","f\Furn_shrine_vivec_01.NIF","","shrinePalace"
"ac_shrine_puzzlecanal","Activator","Shrine of the Puzzle Canal","f\Furn_shrine_vivec_01.NIF","","shrinePuzzleCanal"
"ac_shrine_stopmoon","Activator","Shrine to Stop the Moon","f\Furn_shrine_vivec_01.NIF","","shrineStopMoon"
"Act_banner_Ald_Velothi","Activator","Ald Velothi","f\Act_banner_Ald_Velothi.nif","","OutsideBanner"
"Act_banner_Gnaar_Mok","Activator","Gnaar Mok","f\Act_banner_Gnaar_Mok.nif","","OutsideBanner"
"Act_banner_Hla_Oad","Activator","Hla Oad","f\Act_banner_Hla_Oad.nif","","OutsideBanner"
"Act_banner_Khuul","Activator","Khuul","f\Act_banner_Khull.nif","","OutsideBanner"
"Act_banner_Sadrith_Mora","Activator","Sadrith Mora","f\Act_banner_Sadrith_Mora.nif","","OutsideBanner"
"Act_banner_Tel_Aruhn","Activator","Tel Aruhn","f\Act_banner_Tel_Aruhn.nif","","OutsideBanner"
"Act_banner_Tel_Branora","Activator","Tel Branora","f\Act_banner_Tel_Branora.nif","","OutsideBanner"
"Act_banner_Tel_Fyr","Activator","Tel Fyr","f\Act_banner_Tel_Fyr.nif","","OutsideBanner"
"Act_banner_Tel_Mora","Activator","Tel Mora","f\Act_banner_Tel_Mora.nif","","OutsideBanner"
"Act_banner_Tel_Vos","Activator","Tel Vos","f\Act_banner_Tel_Vos.nif","","OutsideBanner"
"Act_banner_Vos","Activator","Vos","f\Act_banner_Vos.nif","","OutsideBanner"
"act_black_load00","Activator","Dark crevice","i\In_Lava_Blacksquare.nif","",""
"act_black_load01","Activator","Dark Crevice","i\In_Lava_Blacksquare.nif","",""
"act_black_load02","Activator","Dark Crevice","i\In_Lava_Blacksquare.nif","",""
"act_black_load03","Activator","Dark Crevice","i\In_Lava_Blacksquare.nif","","passageScript"
"act_black_load04","Activator","Dark Crevice","i\In_Lava_Blacksquare.nif","",""
"Act_BM_axe_hrothmund","Activator","Hrothmund's Axe","w\W_Nord_battleaxe.NIF","","HrothmundAxe"
