"ID","ItemType","Name","Desc","Playable"
"Acrobat","Class","Acrobat","","Yes"
"Agent","Class","Agent","","Yes"
"Alchemist","Class","Alchemist","","No"
"Alchemist Service","Class","Alchemist","","No"
"Apothecary","Class","Apothecary","","No"
"Apothecary Service","Class","Apothecary","","No"
"Archer","Class","Archer","","Yes"
"Assassin","Class","Assassin","","Yes"
"Assassin Service","Class","Assassin","","No"
"Barbarian","Class","Barbarian","","Yes"
"Bard","Class","Bard","","Yes"
"Battlemage","Class","Battlemage","","Yes"
"Battlemage Service","Class","Battlemage","","No"
"Bookseller","Class","Bookseller","","No"
"Buoyant Armiger","Class","","","No"
"Caravaner","Class","Caravaner","","No"
"Caretaker","Class","Caretaker","","No"
"Champion","Class","Champion","","No"
"Clothier","Class","Clothier","","No"
"Commoner","Class","Commoner","","No"
"Crusader","Class","Crusader","","Yes"
"Dreamers","Class","Dreamer","","No"
"Drillmaster","Class","Drillmaster","","No"
"Drillmaster Service","Class","Drillmaster","","No"
"Enchanter","Class","Enchanter","","No"
"Enchanter Service","Class","Enchanter","","No"
"Enforcer","Class","Enforcer","","No"
"Farmer","Class","Farmer","","No"
"Gardener","Class","Gardener","","No"
"Gondolier","Class","Gondolier","","No"
"Guard","Class","Guard","","No"
"Guild Guide","Class","Guild Guide","","No"
"Healer","Class","Healer","","Yes"
"Healer Service","Class","Healer","","No"
"Herder","Class","Herder","","No"
"Hunter","Class","Hunter","","No"
"Journalist","Class","Journalist","","No"
"King","Class","King","","No"
"Knight","Class","Knight","","Yes"
"Mabrigash","Class","Mabrigash","","No"
"Mage","Class","Mage","","Yes"
"Mage Service","Class","Mage","","No"
"Master-at-Arms","Class","Master-at-Arms","","No"
"Merchant","Class","Merchant","","No"
"Miner","Class","Miner","","No"
"Monk","Class","Monk","","Yes"
"Monk Service","Class","Monk","","No"
"Necromancer","Class","Necromancer","","No"
"Nightblade","Class","Nightblade","","Yes"
"Nightblade Service","Class","Nightblade","","No"
"Noble","Class","Noble","","No"
"Ordinator","Class","Ordinator","","No"
"Ordinator Guard","Class","Ordinator","","No"
"Pauper","Class","Pauper","","No"
"Pawnbroker","Class","Pawnbroker","","No"
"Pilgrim","Class","Pilgrim","","Yes"
"Priest","Class","Priest","","No"
"Priest Service","Class","Priest","","No"
"Publican","Class","Publican","","No"
"Queen Mother","Class","Queen Mother","","No"
"Rogue","Class","Rogue","","Yes"
"Savant","Class","Savant","","No"
"Savant Service","Class","Savant","","No"
"Scout","Class","Scout","","Yes"
"Shaman","Class","Shaman","","No"
"Sharpshooter","Class","Sharpshooter","","No"
"Shipmaster","Class","Shipmaster","","No"
"Slave","Class","Slave","","No"
"Smith","Class","Smith","","No"
"Smuggler","Class","Smuggler","","No"
"Sorcerer","Class","Sorcerer","","Yes"
"Sorcerer Service","Class","Sorcerer","","No"
"Spellsword","Class","Spellsword","","Yes"
"Thief","Class","Thief","","Yes"
"Thief Service","Class","Thief","","No"
"Trader","Class","Trader","","No"
"Trader Service","Class","Trader","","No"
"Warlock","Class","Warlock","","No"
"Warrior","Class","Warrior","","Yes"
"Wise Woman","Class","Wise Woman","","No"
"Wise Woman Service","Class","Wise Woman","","No"
"Witch","Class","Witch","","No"
"Witchhunter","Class","Witchhunter","","Yes"
