"ID","ItemType","Name","Script","Level","Race","Female","Class","Faction","Rank","Autocalc","Respawn","Animation","Disposition","Blood","Hair","Head","Persist","Blocked","Strength","Agility","Speed","Endurance","Personality","Intelligence","Willpower","Luck","Gold","Health","SpellPts","Magic"
"a shady smuggler","NPC","Shady Smuggler","","3","Imperial","No","Smuggler","","0","Yes","No","","50","Default (Red)","b_n_imperial_m_hair_00","b_n_imperial_m_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"a smuggler boss","NPC","Smuggler Boss","","7","Imperial","Yes","Smuggler","","0","Yes","No","","50","Default (Red)","b_n_imperial_f_hair_04","b_n_imperial_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ababael timsar-dadisun","NPC","Ababael Timsar-Dadisun","ZainabKill","25","Dark Elf","No","Trader Service","Ashlanders","4","No","No","","50","Default (Red)","b_n_dark elf_m_hair_13","b_n_dark elf_m_head_01","No","Yes","100","58","58","62","100","90","90","40","9000","236","310","45"
"abanji","NPC","Abanji","slaveScript","4","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair03","b_n_khajiit_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"abassel asserbassalit","NPC","Abassel Asserbassalit","","13","Dark Elf","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_14","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"abbard the wild","NPC","Abbard the Wild","","14","Nord","No","Barbarian","Telvanni","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair05","b_n_nord_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"abelle chriditte","NPC","Abelle Chriditte","","25","Breton","Yes","Alchemist Service","","0","No","No","","50","Default (Red)","b_n_breton_f_hair_05","b_n_breton_f_head_03","No","Yes","61","56","74","44","62","100","100","50","3000","157","261","200"
"abibaal assillariran","NPC","Abibaal Assillariran","","8","Dark Elf","No","Archer","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_05","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"abishpulu shand","NPC","Abishpulu Shand","","5","Dark Elf","No","Farmer","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_02","b_n_dark elf_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"achel","NPC","Achel","","2","Redguard","No","Commoner","","0","Yes","No","","50","Default (Red)","b_n_redguard_m_hair_01","b_n_redguard_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"adairan lalansour","NPC","Adairan Lalansour","","7","Dark Elf","No","Scout","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_25","b_n_dark elf_m_head_08","No","Yes","51","58","71","58","34","47","37","40","0","90","204","94"
"adaishah ahanidiran","NPC","Adaishah Ahanidiran","","6","Dark Elf","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_23","b_n_dark elf_m_head_12","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"adanja","NPC","Adanja","","10","Khajiit","Yes","Pilgrim","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair01","b_n_khajiit_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"adaves therayn","NPC","Adaves Therayn","","3","Dark Elf","No","Pauper","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_04","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"addammus","NPC","Addammus","AhemmusaKill","7","Dark Elf","No","Hunter","Ashlanders","1","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_16","b_n_dark elf_m_head_08","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"addarnat assardidairan","NPC","Addarnat Assardidairan","","12","Dark Elf","No","Scout","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_13","b_n_dark elf_m_head_10","No","Yes","60","73","81","65","37","52","42","40","0","128","240","104"
"addhiranirr","NPC","Addhiranirr","nolore","9","Khajiit","Yes","Thief","Thieves Guild","4","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair01","b_n_khajiit_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"adding","NPC","Adding","","10","Nord","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair01","b_n_nord_m_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"addut-lamanu","NPC","Addut-Lamanu","ErabenimsunKill","10","Dark Elf","Yes","Healer Service","Ashlanders","2","No","No","","50","Default (Red)","b_n_dark elf_f_hair_18","b_n_dark elf_f_head_10","No","Yes","52","50","67","35","65","50","69","40","100","70","206","100"
"adharanji","NPC","Adharanji","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair04","b_n_khajiit_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"adibael hainnabibi","NPC","Adibael Hainnabibi","","25","Dark Elf","No","Scout","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_20","b_n_dark elf_m_head_06","No","Yes","85","100","88","85","55","68","78","40","0","297","348","136"
"Adil Norvayn","NPC","Adil Norvayn","","2","Dark Elf","No","Warrior","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_26","b_n_dark elf_m_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"aditte oges","NPC","Aditte Oges","","5","Breton","Yes","Spellsword","","0","No","No","","50","Default (Red)","b_n_breton_f_hair_05","b_n_breton_f_head_03","Yes","Yes","32","43","43","61","31","41","51","40","0","0","187","20"
"Adondasi Sadalvel","NPC","Adondasi Sadalvel","","4","Dark Elf","No","Caravaner","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_03","b_n_dark elf_m_head_15","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Adosi Darano","NPC","Adosi Darano","","3","Dark Elf","No","Thief","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_02","b_n_dark elf_m_head_13","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"adraria vandacia","NPC","Adraria Vandacia","","11","Imperial","Yes","Agent","Census and Excise","3","No","No","","50","Default (Red)","b_n_imperial_f_hair_01","b_n_imperial_f_head_05","No","Yes","58","67","49","46","80","51","48","40","0","98","219","102"
"adrusu rothrano","NPC","Adrusu Rothrano","","13","Dark Elf","Yes","Pilgrim","Temple","4","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_20","b_n_dark elf_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"adusamsi assurnarairan","NPC","Adusamsi Assurnarairan","","17","Dark Elf","Yes","Priest","Imperial Cult","6","No","No","","50","Default (Red)","b_n_dark elf_f_hair_05","b_n_dark elf_f_head_03","No","Yes","71","49","67","50","55","64","100","40","0","145","270","32"
"Aebondeius Jucanis","NPC","Aebondeius Jucanis","drenSlaveOwners","8","Imperial","No","Warrior","Hlaalu","2","Yes","No","","30","Default (Red)","b_n_imperial_m_hair_00","b_n_imperial_m_head_05","No","Yes","0","0","0","0","0","0","0","0","0","0","0","0"
"aenar","NPC","Aenar","ColonyAenar","30","Nord","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair01","B_N_Nord_M_Head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
