"ID","ItemType","Model"
"AAA_refernce_flag","Static","x\AAA_refernce_flag.NIF"
"Active_De_Bed_12","Static","f\Active_De_Bed_12.nif"
"Active_MH_Forcefield","Static","f\Active_MH_Forcefield.NIF"
"Active_MH_Forcefield_01","Static","f\Active_MH_Forcefield.NIF"
"Active_MH_Forcefield_02","Static","f\Active_MH_Forcefield.NIF"
"Active_MH_Forcefield_03","Static","f\Active_MH_Forcefield.NIF"
"Active_MH_Forcefield_04","Static","f\Active_MH_Forcefield.NIF"
"Active_MH_Forcefield_05","Static","f\Active_MH_Forcefield.NIF"
"akula_door00","Static","d\door_dwrv_main00.nif"
"akula_door01","Static","d\door_dwrv_main00.nif"
"arkn_door00","Static","d\door_dwrv_main00.nif"
"arkn_door01","Static","d\door_dwrv_main00.nif"
"bm_bearhead_brown","Static","m\BearBrownPlaque.NIF"
"bm_bearhead_red","Static","m\BearRedPlaque.NIF"
"bm_bearhead_white","Static","m\BearWhitePlaque.NIF"
"BM_colony_bar-inn01.NIF","Static","i\BM_colony_bar-inn01.NIF"
"BM_colony_barn01","Static","i\BM_colony_barn01.NIF"
"BM_colony_cave_door01","Static","i\BM_colony_cave_door01.NIF"
"BM_colony_column01","Static","i\BM_colony_column01.NIF"
"BM_colony_house01","Static","i\BM_colony_house01.NIF"
"BM_colony_house02","Static","i\BM_colony_house02.NIF"
"BM_colony_house03","Static","i\BM_colony_house03.NIF"
"BM_colony_mineentrance01","Static","i\BM_colony_mineentrance01.NIF"
"BM_colony_playerhome01","Static","i\BM_colony_playerhome01.NIF"
"BM_colony_SOP01","Static","i\BM_colony_SOP01.NIF"
"BM_colony_SOP02.NIF","Static","i\BM_colony_SOP02.NIF"
"BM_colony_stonewall01","Static","i\BM_colony_stonewall01.NIF"
"BM_colony_wall01.NIF","Static","i\BM_colony_wall01.NIF"
"BM_colony_wall02","Static","i\BM_colony_wall02.NIF"
"BM_colony_wall03","Static","i\BM_colony_wall03.NIF"
"BM_colony_wall04","Static","i\BM_colony_wall04.NIF"
"bm_ex_ice_exit02_dirt","Static","x\bm_ex_ice_exit02_dirt.NIF"
"bm_ex_ice_exit02_snow","Static","x\bm_ex_ice_exit02_snow.NIF"
"bm_ex_ice_exit03_dirt","Static","x\bm_ex_ice_exit03_dirt.NIF"
"bm_ex_ice_exit03_dirtsnow","Static","x\bm_ex_ice_exit03_dirtsnow.NIF"
"bm_ex_ice_exit03_ice","Static","x\bm_ex_ice_exit03_ice.NIF"
"bm_ex_ice_exit03_snow","Static","x\bm_ex_ice_exit03_snow.NIF"
"bm_ex_ice_exit04","Static","x\bm_ex_ice_exit04.NIF"
"bm_ex_ice_exit05","Static","x\bm_ex_ice_exit05.NIF"
"bm_ex_iceberg","Static","x\bm_ex_iceberg.NIF"
"bm_ex_iceberg_collapsed","Static","x\bm_ex_iceberg_collapsed.NIF"
"bm_ex_iceberg_shard01","Static","x\bm_ex_iceberg_shard01.NIF"
"bm_ex_iceberg_shard02","Static","x\bm_ex_iceberg_shard02.NIF"
"bm_ex_karstaag","Static","x\bm_ex_karstaag.NIF"
"bm_ex_karstaag_doorclosed","Static","x\bm_ex_karstaag_doorclosed.NIF"
"bm_ex_karstaag_dooropen","Static","x\bm_ex_karstaag_dooropen.NIF"
"bm_ex_karstaag_rock01","Static","x\bm_ex_karstaag_rock01.NIF"
"bm_ex_karstaag_rock02","Static","x\bm_ex_karstaag_rock02.NIF"
"bm_ex_karstaag_rock03","Static","x\bm_ex_karstaag_rock03.NIF"
"BM_IC_3way","Static","i\BM_IC_3way.NIF"
"BM_IC_4way","Static","i\BM_IC_4way.NIF"
"BM_IC_cavern_01","Static","i\BM_IC_cavern_01.NIF"
"BM_IC_cavern_01_01","Static","i\BM_IC_cavern_01_01.NIF"
"BM_IC_cavern_01_02","Static","i\BM_IC_cavern_01_02.NIF"
"BM_IC_cavern_01_03","Static","i\BM_IC_cavern_01_03.NIF"
"BM_IC_cavern_02","Static","i\BM_IC_cavern_02.NIF"
"BM_IC_cavern_03","Static","i\BM_IC_cavern_03.NIF"
"BM_IC_cavern_03_01","Static","i\BM_IC_cavern_03_01.NIF"
"BM_IC_cavern_03_02","Static","i\BM_IC_cavern_03_02.NIF"
"BM_IC_cavern_03_03","Static","i\BM_IC_cavern_03_03.NIF"
"BM_IC_cavern_03_04","Static","i\BM_IC_cavern_03_04.NIF"
"BM_IC_cavern_04","Static","i\BM_IC_cavern_04.NIF"
"BM_IC_cavern_04_02","Static","i\BM_IC_cavern_04_02.NIF"
"BM_IC_end","Static","i\BM_IC_end.NIF"
"BM_IC_exit_01","Static","i\BM_IC_exit_01.NIF"
"BM_IC_exit_02","Static","i\BM_IC_exit_02.NIF"
"BM_IC_gorge","Static","i\BM_IC_gorge.NIF"
"BM_IC_gorge02","Static","i\BM_IC_gorge02.NIF"
"BM_IC_icicle_01","Static","i\BM_IC_icicle_01.NIF"
"BM_IC_icicle_02","Static","i\BM_IC_icicle_02.NIF"
"BM_IC_icicle_03","Static","i\BM_IC_icicle_03.NIF"
"BM_IC_incline","Static","i\BM_IC_incline.NIF"
"BM_IC_rock_01","Static","i\BM_IC_rock_01.NIF"
"BM_IC_rock_02","Static","i\BM_IC_rock_02.NIF"
"BM_IC_rock_03","Static","i\BM_IC_rock_03.NIF"
"BM_IC_rock_04","Static","i\BM_IC_rock_04.NIF"
"BM_IC_rock_05","Static","i\BM_IC_rock_05.NIF"
"BM_IC_rock_06","Static","i\BM_IC_rock_06.NIF"
"BM_IC_rock_07","Static","i\BM_IC_rock_07.NIF"
"BM_IC_rock_08","Static","i\BM_IC_rock_08.NIF"
"BM_IC_rock_09_low","Static","i\BM_IC_rock_09_low.NIF"
"BM_IC_room02_center_01","Static","i\BM_IC_room02_center_01.NIF"
"BM_IC_room02_corner","Static","i\BM_IC_room02_corner.NIF"
"BM_IC_room02_entrance","Static","i\BM_IC_room02_entrance.NIF"
"BM_IC_room02_inner","Static","i\BM_IC_room02_inner.NIF"
"BM_IC_room02_sidewall_01","Static","i\BM_IC_room02_sidewall_01.NIF"
"BM_IC_room02_sidewall_02","Static","i\BM_IC_room02_sidewall_02.NIF"
"BM_IC_room_center_01","Static","i\BM_IC_room_center_01.NIF"
"BM_IC_room_center_02","Static","i\BM_IC_room_center_02.NIF"
"BM_IC_room_center_03","Static","i\BM_IC_room_center_03.NIF"
"BM_IC_room_center_04","Static","i\BM_IC_room_center_04.NIF"
"BM_IC_room_column","Static","i\BM_IC_room_column.NIF"
"BM_IC_room_corner","Static","i\BM_IC_room_corner.NIF"
"BM_IC_room_entrance","Static","i\BM_IC_room_entrance.NIF"
"BM_IC_room_inner","Static","i\BM_IC_room_inner.NIF"
"BM_IC_room_sidewall_01","Static","i\BM_IC_room_sidewall_01.NIF"
"BM_IC_room_sidewall_02","Static","i\BM_IC_room_sidewall_02.NIF"
"BM_IC_seem_01","Static","i\BM_IC_seem_01.NIF"
"BM_IC_sno_mound_01","Static","i\BM_IC_sno_mound_01.NIF"
"BM_IC_stalag_01","Static","i\BM_IC_stalag_01.NIF"
"BM_IC_stalag_02","Static","i\BM_IC_stalag_02.NIF"
"BM_IC_stalag_03","Static","i\BM_IC_stalag_03.NIF"
"BM_IC_stalag_04","Static","i\BM_IC_stalag_04.NIF"
"BM_IC_stalag_05","Static","i\BM_IC_stalag_05.NIF"
"BM_IC_stalag_06","Static","i\BM_IC_stalag_06.NIF"
"BM_IC_stalag_07","Static","i\BM_IC_stalag_07.NIF"
"BM_IC_stalag_08","Static","i\BM_IC_stalag_08.NIF"
"BM_IC_stalag_09_low","Static","i\BM_IC_stalag_09_low.NIF"
"BM_IC_straight_long","Static","i\BM_IC_straight_long.NIF"
"BM_IC_straight_short","Static","i\BM_IC_straight_short.NIF"
"BM_IC_transrock_01","Static","i\BM_IC_transrock_01.NIF"
"BM_IC_transrock_02","Static","i\BM_IC_transrock_02.NIF"
"BM_IC_transrock_03","Static","i\BM_IC_transrock_03.NIF"
"BM_IC_turn","Static","i\BM_IC_turn.NIF"
"BM_IC_type02_exit_01","Static","i\BM_IC_type02_exit_01.NIF"
"BM_IC_type02_exit_02","Static","i\BM_IC_type02_exit_02.NIF"
"BM_IC_type02_exit_03","Static","i\BM_IC_type02_exit_03.NIF"
"BM_IC_watertunnel_01","Static","i\BM_IC_watertunnel_01.NIF"
"BM_Icewall_collision","Static","f\BM_ice_wall_collision.NIF"
"BM_KA_bedding","Static","i\BM_KA_bedding.NIF"
"BM_KA_chair","Static","i\BM_KA_chair.NIF"
"BM_KA_chambers","Static","i\BM_KA_chambers.NIF"
"BM_KA_chandelier","Static","i\BM_KA_chandelier.NIF"
"BM_KA_hall","Static","i\BM_KA_hall.NIF"
"BM_KA_hall_02","Static","i\BM_KA_hall_02.NIF"
"BM_KA_lamp","Static","i\BM_KA_lamp.NIF"
"BM_KA_throne","Static","i\BM_KA_throne.NIF"
"BM_KA_throneroom","Static","i\BM_KA_throneroom.NIF"
"BM_misc_skull_griss","Static","m\misc_skull00.nif"
"BM_misc_skull_griss_floor","Static","m\misc_skull00.nif"
"BM_udyrfrykte_heart ","Static","n\Ingred_Daedra_heart_01.nif"
"bm_wolfhead_black","Static","m\WolfBlackPlaque.NIF"
"bm_wolfhead_red","Static","m\WolfRedPlaque.NIF"
"bm_wolfhead_white","Static","m\WolfWhitePlaque.NIF"
"Broken_Imperfect","Static","i\Broken_Imperfect.NIF"
"chargen oar left","Static","x\Ex_DE_ship_oarleft.NIF"
"chargen oar right","Static","x\Ex_DE_ship_OARright.NIF"
"chargen_plank","Static","x\ex_ship_plank.nif"
"Collision Wall - INVISO!!","Static","EditorMarker_box_01.NIF"
"dagoth_door00","Static","d\door_dwrv_main00.nif"
"dagoth_door01","Static","d\door_dwrv_main00.nif"
"DivineMarker","Static","Marker_Divine.nif"
"DoorMarker","Static","Marker_Arrow.nif"
"dwrv_mechhead00","Static","f\dwrv_mechhead00.NIF"
"dwrv_mechhips00","Static","f\dwrv_mechhips00.NIF"
"dwrv_mechlarm00","Static","f\dwrv_mechlarm00.NIF"
"dwrv_mechlfoot00","Static","f\dwrv_mechlfoot00.NIF"
"dwrv_mechlfrarm00","Static","f\dwrv_mechlfrarm00.NIF"
"dwrv_mechlhand00","Static","f\dwrv_mechlhand00.NIF"
"dwrv_mechlthigh00","Static","f\dwrv_mechlthigh00.NIF"
"dwrv_mechrarm00","Static","f\dwrv_mechrarm00.NIF"
"dwrv_mechrfarm00","Static","f\dwrv_mechrfarm00.NIF"
"dwrv_mechrfoot00","Static","f\dwrv_mechrfoot00.NIF"
"dwrv_mechrhand00","Static","f\dwrv_mechrhand00.NIF"
"dwrv_mechrthigh00","Static","f\dwrv_mechrthigh00.NIF"
"dwrv_mechtorso00","Static","f\dwrv_mechtorso00.NIF"
"ex_ai_boulder06","Static","f\ex_boulder06.nif"
"ex_ai_boulder07","Static","f\ex_boulder07.nif"
"ex_ai_boulder08","Static","f\ex_boulder08.nif"
"ex_ai_cave_entrance_01","Static","x\Ex_AI_cave_entrance_01.NIF"
"ex_ar_01","Static","x\Ex_AR_01.NIF"
"ex_ashl_banner","Static","f\Ex_Ashl_Banner.NIF"
"ex_ashl_tent_01","Static","x\Ex_Ashl_Tent_01.NIF"
"ex_ashl_tent_02","Static","x\Ex_Ashl_Tent_02.NIF"
"ex_ashl_tent_03","Static","x\Ex_Ashl_Tent_03.NIF"
"ex_ashl_tent_04","Static","x\Ex_Ashl_Tent_04.NIF"
"Ex_barnacles_01","Static","x\Ex_barnacles_01.nif"
"Ex_barnacles_02","Static","x\Ex_barnacles_02.nif"
"Ex_barnacles_03","Static","x\Ex_barnacles_03.nif"
"Ex_barnacles_04","Static","x\Ex_barnacles_04.nif"
"Ex_barnacles_05","Static","x\Ex_barnacles_05.nif"
"Ex_barnacles_06","Static","x\Ex_barnacles_06.nif"
"ex_bc_cave_entrance","Static","x\Ex_BC_cave_entrance.NIF"
"Ex_BM_DAE_ruin_04","Static","x\Ex_BM_DAE_ruin_04.NIF"
"Ex_BM_Hbane_01","Static","x\Ex_BM_Hbane_01.NIF"
"Ex_BM_Hbane_ent_01","Static","x\Ex_BM_Hbane_ent_01.NIF"
"Ex_BM_tomb_01","Static","x\Ex_BM_tomb_01.NIF"
"Ex_BM_tomb_02","Static","x\Ex_BM_tomb_02.NIF"
"Ex_BM_tomb_03","Static","x\Ex_BM_tomb_03.NIF"
"ex_boulder05","Static","f\ex_boulder05.nif"
"ex_c_chimney_tall_02","Static","x\Ex_C_chimney_tall_02.NIF"
"ex_cave_ash00","Static","x\ex_cave_ash00.nif"
"ex_cave_coastrock00","Static","x\ex_cave_coastrock00.nif"
"ex_cave_entrance_10","Static","x\ex_cave_stoneyb00.nif"
"ex_cave_entrance_ac_01","Static","x\Ex_AC_cave_entrance_01.NIF"
"ex_cave_entrance_ai_01","Static","x\Ex_AI_cave_entrance_01.NIF"
"ex_cave_entrance_al_01","Static","x\Ex_AL_cave_entrance_01.NIF"
"ex_cave_entrance_bc_01","Static","x\Ex_BC_cave_entrance_01.NIF"
"ex_cave_entrance_gl_01","Static","x\Ex_GL_cave_entrance_01.NIF"
"ex_cave_entrance_ma_lava","Static","x\Ex_MA_cave_entrance_lava.nif"
"ex_cave_entrance_rm_01","Static","x\Ex_RM_cave_entrance_01.NIF"
"ex_cave_entrance_wg_01","Static","x\Ex_WG_cave_entrance_01.NIF"
"ex_cave_grass00","Static","x\ex_cave_grass00.nif"
"ex_cave_mt00","Static","x\ex_cave_mt00.nif"
"ex_cave_sand00","Static","x\ex_cave_sand00.nif"
"ex_cave_scrub00","Static","x\ex_cave_scrub00.nif"
